time,reality,ideal
0,9,5
0.201005025,9,5.02426664
0.40201005,9,5.048827716
0.603015075,9,5.073686798
0.804020101,9,5.098847504
1.005025126,9,5.124313493
1.206030151,9,5.150088469
1.407035176,9,5.176176181
1.608040201,9,5.202580423
1.809045226,9,5.229305037
2.010050251,9,5.256353908
2.211055276,9,5.283730973
2.412060302,9,5.311440212
2.613065327,9,5.339485656
2.814070352,9,5.367871385
3.015075377,9,5.396601526
3.216080402,9,5.42568026
3.417085427,9,5.455111815
3.618090452,9,5.484900473
3.819095477,9,5.515050566
4.020100503,9,5.54556648
4.221105528,9,5.576452653
4.422110553,14,5.607713578
4.623115578,14,5.639353802
4.824120603,14,5.671377927
5.025125628,14,5.703790611
5.226130653,14,5.736596568
5.427135678,14,5.76980057
5.628140704,14,5.803407447
5.829145729,14,5.837422087
6.030150754,14,5.871849438
6.231155779,14,5.906694507
6.432160804,14,5.941962362
6.633165829,14,5.977658133
6.834170854,14,6.013787013
7.035175879,14,6.050354256
7.236180905,14,6.087365181
7.43718593,14,6.124825171
7.638190955,14,6.162739675
7.83919598,14,6.201114208
8.040201005,14,6.239954352
8.24120603,14,6.279265756
8.442211055,14,6.319054137
8.64321608,14,6.359325284
8.844221106,14,6.400085053
9.045226131,14,6.441339374
9.246231156,14,6.483094246
9.447236181,14,6.525355744
9.648241206,14,6.568130014
9.849246231,14,6.611423278
10.05025126,14,6.655241833
10.25125628,14,6.699592052
10.45226131,14,6.744480387
10.65326633,14,6.789913367
10.85427136,14,6.835897599
11.05527638,14,6.882439773
11.25628141,14,6.929546658
11.45728643,14,6.977225106
11.65829146,14,7.025482051
11.85929648,14,7.074324514
12.06030151,14,7.123759598
12.26130653,14,7.173794493
12.46231156,14,7.224436478
12.66331658,14,7.275692919
12.86432161,14,7.32757127
13.06532663,14,7.380079078
13.26633166,14,7.43322398
13.46733668,14,7.487013706
13.66834171,14,7.54145608
13.86934673,14,7.596559021
14.07035176,14,7.652330543
14.27135678,14,7.708778759
14.47236181,14,7.76591188
14.67336683,14,7.823738214
14.87437186,14,7.95913075
15.07537688,14,8.104616121
15.27638191,14,8.253653351
15.47738693,14,8.406329155
15.67839196,14,8.562732364
15.87939698,14,8.722953979
16.08040201,14,8.887087222
16.28140704,14,9.05522759
16.48241206,14,9.227472914
16.68341709,14,9.40392341
16.88442211,14,9.584681744
17.08542714,14,9.769853085
17.28643216,14,9.959545174
17.48743719,14,10.15386838
17.68844221,14,10.35293576
17.88944724,14,10.55686315
18.09045226,14,10.76576919
18.29145729,14,10.97977543
18.49246231,14,11.19900639
18.69346734,14,11.42358963
18.89447236,14,11.6536558
19.09547739,14,11.88933878
19.29648241,14,12.1307757
19.49748744,14,12.37810701
19.69849246,14,12.63147664
19.89949749,14,12.891032
20.10050251,14,13.15692411
20.30150754,14,13.42930767
20.50251256,14,13.70834116
20.70351759,14,13.99418694
20.90452261,14.28701131,14.28701131
21.10552764,14.58698466,14.58698466
21.30653266,14.89428151,14.89428151
21.50753769,15.20908067,15.20908067
21.70854271,15.53156529,15.53156529
21.90954774,15.861923,15.861923
22.11055276,16.20034602,16.20034602
22.31155779,16.54703125,16.54703125
22.51256281,16.9021804,16.9021804
22.71356784,17.26600011,17.26600011
22.91457286,17.63870207,17.63870207
23.11557789,18.02050312,18.02050312
23.31658291,18.4116254,18.4116254
23.51758794,18.81229649,18.81229649
23.71859296,19.22274951,19.22274951
23.91959799,19.64322327,19.64322327
24.12060302,20.07396241,20.07396241
24.32160804,20.51521756,20.51521756
24.52261307,20.96724545,20.96724545
24.72361809,21.43030908,21.43030908
24.92462312,21.90467789,21.90467789
25.12562814,22.39062786,22.39062786
25.32663317,22.88844175,22.88844175
25.52763819,23.3984092,23.3984092
25.72864322,23.92082692,23.92082692
25.92964824,24.45599887,24.45599887
26.13065327,25.00423644,25.00423644
26.33165829,14,12.7089358
26.53266332,14,12.82673743
26.73366834,14,12.94596838
26.93467337,14,13.066646
27.13567839,14,13.18878784
27.33668342,14,13.31241166
27.53768844,14,13.43753546
27.73869347,14,13.56417742
27.93969849,14,13.69235596
28.14070352,14,13.82208974
28.34170854,14,13.95339762
28.54271357,14.0862987,14.0862987
28.74371859,14.22081231,14.22081231
28.94472362,14.35695802,14.35695802
29.14572864,14.49475563,14.49475563
29.34673367,14.63422518,14.63422518
29.54773869,14.77538696,14.77538696
29.74874372,14.9182615,14.9182615
29.94974874,15.06286958,15.06286958
30.15075377,15.20923224,15.20923224
30.35175879,15.35737077,15.35737077
30.55276382,15.5073067,15.5073067
30.75376884,15.65906186,15.65906186
30.95477387,15.81265831,15.81265831
31.15577889,15.9681184,15.9681184
31.35678392,16.12546473,16.12546473
31.55778894,16.28472019,16.28472019
31.75879397,16.44590796,16.44590796
31.95979899,16.60905146,16.60905146
32.16080402,16.77417444,16.77417444
32.36180905,16.94130091,16.94130091
32.56281407,17.11045518,17.11045518
32.7638191,17.28166185,17.28166185
32.96482412,17.45494583,17.45494583
33.16582915,17.63033231,17.63033231
33.36683417,17.80784682,17.80784682
33.5678392,17.98751517,17.98751517
33.76884422,18.16936349,18.16936349
33.96984925,18.35341823,18.35341823
34.17085427,18.53970617,18.53970617
34.3718593,18.7282544,18.7282544
34.57286432,18.91909035,18.91909035
34.77386935,19.11224177,19.11224177
34.97487437,19.30773676,19.30773676
35.1758794,19.50560375,19.50560375
35.37688442,19.70587152,19.70587152
35.57788945,19.90856921,19.90856921
35.77889447,20.1137263,20.1137263
35.9798995,20.32137262,20.32137262
36.18090452,20.53153838,20.53153838
36.38190955,20.74425415,20.74425415
36.58291457,20.95955086,20.95955086
36.7839196,21.17745984,21.17745984
36.98492462,21.39801278,21.39801278
37.18592965,21.62124176,21.62124176
37.38693467,21.84717925,21.84717925
37.5879397,22.07585811,22.07585811
37.78894472,22.30731161,22.30731161
37.98994975,22.5415734,22.5415734
38.19095477,22.77867757,22.77867757
38.3919598,23.0186586,23.0186586
38.59296482,23.26155139,23.26155139
38.79396985,23.50739128,23.50739128
38.99497487,23.75621403,23.75621403
39.1959799,24.00805582,24.00805582
39.39698492,24.26295329,24.26295329
39.59798995,24.52094351,24.52094351
39.79899497,24.782064,24.782064
40,25.04635276,25.04635276